"Group.1"	"Group.2"	"Group.3"	"Group.4"	"Species"	"spp"	"Wing.length.1"	"Wing.length.2"	"Country"	"Location"	"Altitude"	"hemisphere"	"Latitude"	"Latitude_cor"	"Longitude"	"Geological.age"	"Origin"	"Period"	"wl"	"dup"	"Lat1_cor"	"Lat_un"
"19"	"Chironomidae"	"Chironominae"	""	"Beardius"	""	"Beardius neusae"	1045	NA	""	"Novo Aripuanã, Soka Gakkai Reserv"	"1670"	"N"	"-5.127671698"	5.127671698	-60.37411592	"rec"	" Pinho et al., 2013 http://dx.doi.org/10.11646/zootaxa.3742.1.54"	"recent"	1045	"Beardius neusae 1045 NA"	5.127671698	-5.127671698
"20"	"Chironomidae"	"Chironominae"	""	"Polypedilum"	""	"Polypedilum amplificatus"	1620	NA	"Tanzania"	""	"1420"	"N"	"-5.102807835"	5.102807835	39.0848892	"rec"	"Afrotropical Blackwell Science Ltd Polypedilum subgenus Tripodura,
with a review of the subgenus (Diptera: Chironomidae)
HEGE VÅRDAL, ALFRED BJØRLO & OLE A. SÆT"	"recent"	1620	"Polypedilum amplificatus 1620 NA"	5.102807835	-5.102807835
"21"	"Chironomidae"	"Orthocladiinae"	""	"Parakiefferiella"	""	"Parakiefferiella minax"	1580	NA	"Tanzania"	""	"1420"	"N"	"-5.102807835"	5.102807835	39.0848892	"rec"	"Ferrington and Saether, 1995"	"recent"	1580	"Parakiefferiella minax 1580 NA"	5.102807835	-5.102807835
"22"	"Chironomidae"	"Chironominae"	"Chironomini"	"Stenochironomus"	""	"Stenochironomus clavatus"	2730	NA	"Tanzania"	""	"1740"	"N"	"-5.102807835"	5.102807835	39.0848892	"rec"	"Kristoffersen, 1997"	"recent"	2730	"Stenochironomus clavatus 2730 NA"	5.102807835	-5.102807835
"23"	"Chironomidae"	"Chironominae"	"Chironomini"	"Stenochironomus"	""	"Stenochironomus nubeculus"	2330	NA	"Tanzania"	""	"1420"	"N"	"-5.102807835"	5.102807835	39.0848892	"rec"	"Kristoffersen, 1998"	"recent"	2330	"Stenochironomus nubeculus 2330 NA"	5.102807835	-5.102807835
"24"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Rheotanytarsus"	""	"Rheotanytarsus abonae"	1250	NA	"Tanzania"	""	"1420"	"N"	"-5.102807835"	5.102807835	39.0848892	"rec"	"Kwatema Kyerematen, 1999"	"recent"	1250	"Rheotanytarsus abonae 1250 NA"	5.102807835	-5.102807835
"25"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Rheotanytarsus"	""	"Rheotanytarsus acuminatus"	1640	NA	"Tanzania"	""	"1420"	"N"	"-5.102807835"	5.102807835	39.0848892	"rec"	"Kwatema Kyerematen, 1999"	"recent"	1640	"Rheotanytarsus acuminatus 1640 NA"	5.102807835	-5.102807835
"26"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Rheotanytarsus"	""	"Rheotanytarsus plerunguis"	1930	NA	"Tanzania"	""	""	"N"	"-5.102807835"	5.102807835	39.0848892	"rec"	"Kwatema Kyerematen, 1999"	"recent"	1930	"Rheotanytarsus plerunguis 1930 NA"	5.102807835	-5.102807835
"27"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Rheotanytarsus"	""	"Rheotanytarsus montanus"	1220	NA	"Congo.SA"	""	""	"N"	"-4.369340942"	4.369340942	15.32200538	"rec"	"Kwatema Kyerematen, 1999"	"recent"	1220	"Rheotanytarsus montanus 1220 NA"	4.369340942	-4.369340942
"28"	""	""	""	"Stenochironomus"	"Stenochironomus palliaculeatus"	"Stenochironomus palliaculeatus(Borkent, 1984)"	2103	2233	"Pedra do �"	"Raum Maaus, Rio Cuieiras, Igarape Cachoeira waterfall, Pedrados"	"94"	"N"	"-3.109163179"	3.109163179	-59.98241346	"rec"	"ZSM"	"recent"	2103	"Stenochironomus palliaculeatus(Borkent, 1984) 2103 2233"	3.109163179	-3.109163179
"29"	""	""	""	"Stenochironomus"	"Stenochironomus jubatus"	"Stenochironomus jubatus(Borkent, 1984)"	3407	3426	"Pedra do �"	"Raum Maaus, Igarape Cachoeira waterfall"	"94"	"N"	"-3.109163179"	3.109163179	-59.98241346	"rec"	"ZSM"	"recent"	3407	"Stenochironomus jubatus(Borkent, 1984) 3407 3426"	3.109163179	-3.109163179
"30"	""	""	""	"Stenochironomus"	"Stenochironomus jubatus"	"Stenochironomus jubatus(Borkent, 1984)"	4339	4320	"Pedra do �"	"Raum Maaus, Igarape Cachoeira waterfall"	"94"	"N"	"-3.109163179"	3.109163179	-59.98241346	"rec"	"ZSM"	"recent"	4339	"Stenochironomus jubatus(Borkent, 1984) 4339 4320"	3.109163179	-3.109163179
"31"	""	""	""	"Stenochironomus"	"Stenochironomus jubatus"	"Stenochironomus jubatus(Borkent, 1984)"	4454	4466	"Pedra do �"	"Raum Maaus, Igarape Cachoeira waterfall"	"94"	"N"	"-3.109163179"	3.109163179	-59.98241346	"rec"	"ZSM"	"recent"	4454	"Stenochironomus jubatus(Borkent, 1984) 4454 4466"	3.109163179	-3.109163179
"32"	""	""	""	"Stenochironomus"	"Stenochironomus impendens"	"Stenochironomus impendens(Borkent, 1984)"	1470	1572	"Par�"	"Rio paru de este, Jgarpe Okueima"	"417"	"N"	"-0.136459249"	0.136459249	-55.90390164	"rec"	"ZSM"	"recent"	1470	"Stenochironomus impendens(Borkent, 1984) 1470 1572"	0.136459249	-0.136459249
