"Group.1"	"Group.2"	"Group.3"	"Group.4"	"Species"	"spp"	"Wing.length.1"	"Wing.length.2"	"Country"	"Location"	"Altitude"	"hemisphere"	"Latitude"	"Latitude_cor"	"Longitude"	"Geological.age"	"Origin"	"Period"	"wl"	"dup"	"Lat1_cor"	"Lat_un"	"Altitude_c"	"alt_interval"	"interval"	"interval_simplified"	"x"	"y"	"Temp"	"Prec"
""	""	""	"Stenochironomus"	"Stenochironomus fittkaui"	"Stenochironomus fittkaui(Borkent, 1984)"	1846	1872	"Parï"	"Rio paru de este, Jgarpe Okueima"	"417"	"N"	"-0.136459249"	0.136459249	-55.90390164	"rec"	"ZSM"	"recent"	1846	"Stenochironomus fittkaui(Borkent, 1984) 1846 1872"	0.136459249	-0.136459249	417	"(0,500]"	"(-10,0]"	"(0,10]"	-55.90390164	-0.136459249	261	2278
""	""	""	"Stenochironomus"	"Stenochironomus fittkaui"	"Stenochironomus fittkaui(Borkent, 1984)"	1855	0	"Parï"	"Rio paru de este, Jgarpe Okueima"	"417"	"N"	"-0.136459249"	0.136459249	-55.90390164	"rec"	"ZSM"	"recent"	1855	"Stenochironomus fittkaui(Borkent, 1984) 1855 0"	0.136459249	-0.136459249	417	"(0,500]"	"(-10,0]"	"(0,10]"	-55.90390164	-0.136459249	261	2278
""	""	""	"Stenochironomus"	"Stenochironomus reissi"	"Stenochironomus reissi (Borkent, 1984)"	2022	1998	"Parï"	"Rio paru de este, Mission Tirityo"	"417"	"N"	"-0.136459249"	0.136459249	-55.90390164	"rec"	"ZSM"	"recent"	2022	"Stenochironomus reissi (Borkent, 1984) 2022 1998"	0.136459249	-0.136459249	417	"(0,500]"	"(-10,0]"	"(0,10]"	-55.90390164	-0.136459249	261	2278
""	""	""	"Stenochironomus"	"Stenochironomus reissi"	"Stenochironomus reissi (Borkent, 1984)"	2094	2036	"Parï"	"Rio paru de este, Mission Tirityo"	"417"	"N"	"-0.136459249"	0.136459249	-55.90390164	"rec"	"ZSM"	"recent"	2094	"Stenochironomus reissi (Borkent, 1984) 2094 2036"	0.136459249	-0.136459249	417	"(0,500]"	"(-10,0]"	"(0,10]"	-55.90390164	-0.136459249	261	2278
""	""	""	"Psilochironomus"	"Psilochironomus fumeus"	" Psilochironomus fumeus (Walley, 1934)"	2771	2857	"Parï"	"Rio paru de este, Mission Tirityo"	"417"	"N"	"-0.136459249"	0.136459249	-55.90390164	"rec"	"ZSM"	"recent"	2771	" Psilochironomus fumeus (Walley, 1934) 2771 2857"	0.136459249	-0.136459249	417	"(0,500]"	"(-10,0]"	"(0,10]"	-55.90390164	-0.136459249	261	2278
""	""	""	"Psilochironomus"	"Psilochironomus fumeus"	" Psilochironomus fumeus (Walley, 1934)"	2783	0	"Parï"	"Rio paru de este, Makoca Apico"	"417"	"N"	"-0.136459249"	0.136459249	-55.90390164	"rec"	"ZSM"	"recent"	2783	" Psilochironomus fumeus (Walley, 1934) 2783 0"	0.136459249	-0.136459249	417	"(0,500]"	"(-10,0]"	"(0,10]"	-55.90390164	-0.136459249	261	2278
""	""	""	"Psilochironomus"	"Psilochironomus fumeus"	" Psilochironomus fumeus (Walley, 1934)"	2835	2826	"Parï"	"Rio paru de este, Mission Tirityo"	"417"	"N"	"-0.136459249"	0.136459249	-55.90390164	"rec"	"ZSM"	"recent"	2835	" Psilochironomus fumeus (Walley, 1934) 2835 2826"	0.136459249	-0.136459249	417	"(0,500]"	"(-10,0]"	"(0,10]"	-55.90390164	-0.136459249	261	2278
"Chironomidae"	"Chironominae"	""	"Paratendipes"	"crosskeyi"	"Paratendipes crosskeyi"	1432.6	NA	"Kenia"	"Meru"	"1384"	"N"	"0.051198047"	0.051198047	37.64448167	"rec"	"ZSM"	"recent"	1432.6	"Paratendipes crosskeyi 1432.6 NA"	0.051198047	0.051198047	1384	"(1e+03,2e+03]"	"(0,10]"	"(0,10]"	37.64448167	0.051198047	168	1582
"Chironomidae"	"Chironominae"	""	"Beardius"	""	"Beardius phoenix"	1090	NA	""	""	""	"N"	"0.10419412"	0.10419412	-60.61310622	"rec"	" Pinho et al., 2013 http://dx.doi.org/10.11646/zootaxa.3742.1.56"	"recent"	1090	"Beardius phoenix 1090 NA"	0.10419412	0.10419412	NA	NA	"(0,10]"	"(0,10]"	-60.61310622	0.10419412	271	1838
"Chironomidae"	"Chironominae"	""	"Parachironomus"	""	"Parachironomus apalai"	1070	NA	"Braz"	""	""	"N"	"0.220734914"	0.220734914	-56.30014023	"rec"	"Spies, Fittkau & Reiss, 1994"	"recent"	1070	"Parachironomus apalai 1070 NA"	0.220734914	0.220734914	NA	NA	"(0,10]"	"(0,10]"	-56.30014023	0.220734914	265	2262
"Chironomidae"	"Tanypodinae"	"Coelotanypodinid"	"Clinotanypus"	"claripennis"	"Clinotanypus claripennis"	2843	NA	"Kenia"	"Lake Bogoria"	"989"	"N"	"0.27"	0.27	36.1	"rec"	"ZSM"	"recent"	2843	"Clinotanypus claripennis 2843 NA"	0.27	0.27	989	"(500,1e+03]"	"(0,10]"	"(0,10]"	36.1	0.27	222	796
"Chironomidae"	"Tanypodinae"	"Coelotanypodinid"	"Clinotanypus"	"claripennis"	"Clinotanypus claripennis"	3292	NA	"Kenia"	"Lake Bogoria"	"989"	"N"	"0.27"	0.27	36.1	"rec"	"ZSM"	"recent"	3292	"Clinotanypus claripennis 3292 NA"	0.27	0.27	989	"(500,1e+03]"	"(0,10]"	"(0,10]"	36.1	0.27	222	796
"Chironomidae"	"Chironominae"	""	"Paratendipes"	"striatus"	"Paratendipes striatus"	1461	NA	"Kenia"	"Sambaru Lodge"	"1202"	"N"	"0.28"	0.28	36.36589944	"rec"	"ZSM"	"recent"	1461	"Paratendipes striatus 1461 NA"	0.28	0.28	1202	"(1e+03,2e+03]"	"(0,10]"	"(0,10]"	36.36589944	0.28	163	811
"Chironomidae"	"Chironominae"	""	"Paratendipes"	"striatus"	"Paratendipes striatus"	1676.6	NA	"Kenia"	"Sambaru Lodge"	"1202"	"N"	"0.28"	0.28	36.36589944	"rec"	"ZSM"	"recent"	1676.6	"Paratendipes striatus 1676.6 NA"	0.28	0.28	1202	"(1e+03,2e+03]"	"(0,10]"	"(0,10]"	36.36589944	0.28	163	811
"Chironomidae"	"Chironominae"	""	"Paratendipes"	"striatus"	"Paratendipes striatus"	1695.6	NA	"Kenia"	"Sambaru Lodge"	"1202"	"N"	"0.28"	0.28	36.36589944	"rec"	"ZSM"	"recent"	1695.6	"Paratendipes striatus 1695.6 NA"	0.28	0.28	1202	"(1e+03,2e+03]"	"(0,10]"	"(0,10]"	36.36589944	0.28	163	811
"Chironomidae"	"Tanypodinae"	""	"Procladius"	""	"Procladius albitalus"	1875	NA	"Afrotropics"	""	""	"N"	"0.31"	0.31	32.58195419	"rec"	"Freeman, 1955."	"recent"	1875	"Procladius albitalus 1875 NA"	0.31	0.31	NA	NA	"(0,10]"	"(0,10]"	32.58195419	0.31	216	1350
"Chironomidae"	"Tanypodinae"	""	"Paramerina"	""	"Paramerina longipes"	2500	NA	"Afrotropics"	""	""	"N"	"0.31"	0.31	32.58195419	"rec"	"Freeman, 1955."	"recent"	2500	"Paramerina longipes 2500 NA"	0.31	0.31	NA	NA	"(0,10]"	"(0,10]"	32.58195419	0.31	216	1350
"Chironomidae"	"Chironominae"	""	"Parachironomus"	""	"Parachironomus matapi"	1150	NA	""	""	""	"N"	"0.32"	0.32	-76.27	"rec"	"Spies, Fittkau & Reiss, 1994"	"recent"	1150	"Parachironomus matapi 1150 NA"	0.32	0.32	NA	NA	"(0,10]"	"(0,10]"	-76.27	0.32	251	3527
"Chironomidae"	"Chironominae"	"Tanytarsini"	"Sublettea"	""	"Sublettea wilesi"	860	NA	"Indonesia"	""	""	"N"	"0.33"	0.33	123.54	"rec"	"Ashe and O'Connor, 1995"	"recent"	860	"Sublettea wilesi 860 NA"	0.33	0.33	NA	NA	"(0,10]"	"(0,10]"	123.54	0.33	266	1500
"Chironomidae"	"Orthocladiinae"	""	"Murraycladius"	""	"Murraycladius patwallacei"	1060	NA	"Indonesia"	""	""	"N"	"0.33"	0.33	123.54	"rec"	"Ashe and O'Connor, 2008"	"recent"	1060	"Murraycladius patwallacei 1060 NA"	0.33	0.33	NA	NA	"(0,10]"	"(0,10]"	123.54	0.33	266	1500
"Chironomidae"	"Tanypodinae"	"Pentaneurini"	"Conchapelopia"	""	"Conchapelopia insolens"	2500	NA	"Indonesia"	""	""	"N"	"0.33"	0.33	123.54	"rec"	"Murray, 1995"	"recent"	2500	"Conchapelopia insolens 2500 NA"	0.33	0.33	NA	NA	"(0,10]"	"(0,10]"	123.54	0.33	266	1500
"Chironomidae"	"Orthocladiinae"	"Orthocladiinae"	"Limnophyes"	""	"Limnophyes lobiscus"	1890	NA	"Afrotropics(Uganda)"	""	""	"N"	"0.37"	0.37	29.87136658	"rec"	"Saether, 1990"	"recent"	1890	"Limnophyes lobiscus 1890 NA"	0.37	0.37	NA	NA	"(0,10]"	"(0,10]"	29.87136658	0.37	83	1887
"Chironomidae"	"Chironominae"	""	"Lepidopelopia"	""	"Lepidopelopia annulator"	1400	NA	"Afrotropics"	""	""	"N"	"0.38"	0.38	29.37726968	"rec"	"Freeman 4(7):285-366 (1956)"	""	1400	"Lepidopelopia annulator 1400 NA"	0.38	0.38	NA	NA	"(0,10]"	"(0,10]"	29.37726968	0.38	220	1539
"Chironomidae"	"Tanypodinae"	""	"Larsia"	""	"Larsia uniformis"	2000	NA	"Afrotropics"	""	""	"N"	"0.38"	0.38	29.37726968	"rec"	"Freeman, 1955."	"recent"	2000	"Larsia uniformis 2000 NA"	0.38	0.38	NA	NA	"(0,10]"	"(0,10]"	29.37726968	0.38	220	1539
"Chironomidae"	"Diamesinae"	""	"Diamesa"	""	"Diamesa ruwenzoriensis"	2850	NA	"Uganda"	""	"3000-4000"	"N"	"0.386734198"	0.386734198	29.87175283	"rec"	"Afrotropical montane midges (Diptera: Chironomidae, Diamesia)  Willassen and Cranston, 1986"	"recent"	2850	"Diamesa ruwenzoriensis 2850 NA"	0.386734198	0.386734198	NA	NA	"(0,10]"	"(0,10]"	29.87175283	0.386734198	83	1887
"Chironomidae"	"Diamesinae"	""	"Diamesa"	""	"Diamesa ruwenzoriensis"	3500	NA	"Afrotropics"	""	"3300-4500"	"N"	"0.386734198"	0.386734198	29.87175283	"rec"	"Freeman, 1955."	"recent"	3500	"Diamesa ruwenzoriensis 3500 NA"	0.386734198	0.386734198	NA	NA	"(0,10]"	"(0,10]"	29.87175283	0.386734198	83	1887
"Chironomidae"	"Orthocladiinae"	"Orthocladiinae"	"Metriocnemus"	""	"Metriocnemus fletcheri"	2500	NA	"Afrotropics"	""	"2300"	"N"	"0.455167153"	0.455167153	30.24233634	"rec"	"Freeman 4(7):285-366 (1956)"	""	2500	"Metriocnemus fletcheri 2500 NA"	0.455167153	0.455167153	2300	"(2e+03,3e+03]"	"(0,10]"	"(0,10]"	30.24233634	0.455167153	213	1210
"Chironomidae"	"Chironominae"	"Tanytarsini"	"Tanytarsus"	""	"Tanytarsus congus"	1060	NA	"Afrotropic"	"Congo, Kisangani"	""	"N"	"0.486576496"	0.486576496	25.33191209	"rec"	"A REVIEW OF AFROTROPICAL TANYTARSUS VAN DER VULP (DIPTERA: CHIRONOMIDAE) Ekrem, 2001"	"recent"	1060	"Tanytarsus congus 1060 NA"	0.486576496	0.486576496	NA	NA	"(0,10]"	"(0,10]"	25.33191209	0.486576496	252	1772
"Chironomidae"	"Chironominae"	"Tanytarsini"	"Caladomyia"	"castelnaui"	"Caladomyia castelnaui"	1210	1360	" Brazil"	"Rio Paru de Oeste at Igarapï"	"270"	"N"	"0.51"	0.51	-54.64	"rec"	"ZSM"	"recent"	1210	"Caladomyia castelnaui 1210 1360"	0.51	0.51	270	"(0,500]"	"(0,10]"	"(0,10]"	-54.64	0.51	254	2084
"Chironomidae"	"Orthocladiinae"	"Orthocladiinae"	"Rheocricotopus"	"capensis"	" Rheocricotopus capensis"	1203	1189	"Zaire"	"Kisangani"	"410"	"N"	"0.51"	0.51	25.21	"rec"	"ZSM"	"recent"	1203	" Rheocricotopus capensis 1203 1189"	0.51	0.51	410	"(0,500]"	"(0,10]"	"(0,10]"	25.21	0.51	252	1802
""	""	""	"Rheocricotopus"	" Rheocricotopus capensis"	" Rheocricotopus capensis (Freeman, 1953)"	1203	1189	"Central-Zaire, Africa"	"Kisangani, Simisimi-Bach"	"410"	"N"	"0.513"	0.513	25.13906436	"rec"	"ZSM"	"recent"	1203	" Rheocricotopus capensis (Freeman, 1953) 1203 1189"	0.513	0.513	410	"(0,500]"	"(0,10]"	"(0,10]"	25.13906436	0.513	252	1793
